,Unnamed: 0,scale,path,psnr,ssim,lpips,chamfer
12250,12250,any,/root/autodl-tmp/animedata/train_10k/Disney_v2_18_00322_s2,36.94933437931248,0.9959403,0.01332,9.815539e-06
10155,10155,any,/root/autodl-tmp/animedata/train_10k/Disney_26_01464_s2,37.11905848561722,0.9927427,0.01334,6.2137988e-06
10076,10076,"(704, 1408)",/root/autodl-tmp/animedata/train_10k/Disney_23_00923_s2,36.91666096240064,0.99315244,0.01337,6.5862123e-06
16484,16484,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Japan_2_86905_s2,34.76647683104624,0.988258,0.01337,5.292871e-06
11191,11191,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Disney_3_04130_s2,34.69592871459144,0.99408275,0.01338,6.297848e-06
15873,15873,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Japan_2_199085_s3,35.64382383107085,0.9969534,0.01338,6.888179e-06
15967,15967,any,/root/autodl-tmp/animedata/train_10k/Japan_2_220969_s3,46.8797293848316,1.0574197,0.0134,1.2684907e-06
11360,11360,"(704, 1408)",/root/autodl-tmp/animedata/train_10k/Disney_7_02435_s1,37.007301704020406,0.9958189,0.01342,1.1097074e-05
10153,10153,any,/root/autodl-tmp/animedata/train_10k/Disney_26_01376_s2,36.43376738750346,0.9925014,0.01343,5.9840827e-06
11351,11351,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Disney_7_02107_s2,36.67397123655372,0.9948243,0.01344,9.670024e-06
17587,17587,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Japan_9_12192_s3,40.3635596264357,0.9913861,0.01344,7.5131993e-06
4115,4115,"(832, 1664)",/root/autodl-tmp/animedata/anime_dataset/4702,35.80798198414162,0.99477124,0.01345,5.7683314e-06
15624,15624,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Japan_2_160296_s2,37.721438697296826,0.99110156,0.01347,6.642076e-06
13778,13778,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Japan_0_112017_s2,42.88322751838692,0.9984872,0.013596,7.099863e-06
15575,15575,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Japan_2_15130_s2,34.804152211318964,0.9878971,0.013596,7.4767245e-06
8534,8534,any,/root/autodl-tmp/animedata/train_10k/Disney_0_12202_s2,43.48216561981359,1.0287809,0.01361,3.944166e-06
15999,15999,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Japan_2_22697_s3,34.23832600770596,0.9852672,0.01366,6.6790944e-06
10061,10061,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Disney_23_00709_s2,36.32520523239906,0.99457306,0.01371,5.8252845e-06
12350,12350,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Disney_v2_5_00296_s2,41.72325079232967,0.9975892,0.01373,8.245983e-06
11002,11002,"(704, 1408)",/root/autodl-tmp/animedata/train_10k/Disney_28_02371_s2,43.91605559252089,0.9972174,0.01378,5.9296462e-06
4453,4453,"(832, 1664)",/root/autodl-tmp/animedata/anime_dataset/5006,36.25409997893532,0.99026495,0.01381,6.4564547e-06
8216,8216,any,/root/autodl-tmp/animedata/train_10k/Disney_0_01505_s2,34.2872982602885,1.0032115,0.01384,6.537236e-06
14442,14442,any,/root/autodl-tmp/animedata/train_10k/Japan_0_33347_s2,34.08912090118693,0.9936001,0.01384,8.724617e-06
3176,3176,"(192, 384)",/root/autodl-tmp/animedata/anime_dataset/3858,37.19655842679508,1.1187842,0.01391,8.369062e-06
1324,1324,"(448, 896)",/root/autodl-tmp/animedata/anime_dataset/2190,37.576623697244045,0.996905,0.013916,5.731922e-06
11685,11685,"(704, 1408)",/root/autodl-tmp/animedata/train_10k/Disney_v2_12_02060_s2,41.26578598419425,0.9930669,0.01393,7.4930294e-06
8802,8802,"(832, 1664)",/root/autodl-tmp/animedata/train_10k/Disney_11_00133_s2,36.11315773512341,0.9919392,0.01395,6.8209356e-06
9251,9251,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Disney_13_04218_s1,42.598650525688406,0.99398786,0.01399,9.2169485e-06
10055,10055,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Disney_23_00620_s2,35.601921804291734,0.99151707,0.01399,8.835468e-06
8845,8845,"(960, 1920)",/root/autodl-tmp/animedata/train_10k/Disney_11_01799_s2,41.09917743400782,0.9941844,0.01401,4.627346e-06
12050,12050,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Disney_v2_16_01512_s2,38.1684555294009,1.0706558,0.01401,6.365333e-06
8714,8714,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Disney_10_03452_s2,40.07374293306978,1.0086197,0.01402,5.1904635e-06
15481,15481,"(832, 1664)",/root/autodl-tmp/animedata/train_10k/Japan_2_13216_s3,34.647666598483305,0.98753434,0.01403,8.286994e-06
10049,10049,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Disney_23_00266_s2,36.533316569888754,0.9944094,0.01404,5.922555e-06
12564,12564,"(256, 512)",/root/autodl-tmp/animedata/train_10k/Disney_v2_8_05423_s2,36.241172760672015,1.0172081,0.01405,6.9637904e-06
16017,16017,"(1088, 2176)",/root/autodl-tmp/animedata/train_10k/Japan_2_23779_s3,32.233149126936,0.9904158,0.01406,8.579321e-06
1152,1152,"(448, 896)",/root/autodl-tmp/animedata/anime_dataset/2035,35.504090643162414,0.9921773,0.01407,5.760112e-06
8532,8532,any,/root/autodl-tmp/animedata/train_10k/Disney_0_12191_s2,44.27955057322557,1.0433573,0.01407,4.128792e-06
16113,16113,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Japan_2_35950_s3,37.53036233873631,0.90164363,0.01411,4.5560437e-06
9046,9046,"(832, 1664)",/root/autodl-tmp/animedata/train_10k/Disney_12_01985_s2,38.08170964994803,0.99295086,0.014114,6.6923785e-06
9255,9255,"(832, 1664)",/root/autodl-tmp/animedata/train_10k/Disney_13_04238_s1,42.26023886840965,0.99377704,0.014114,9.258362e-06
16481,16481,"(256, 512)",/root/autodl-tmp/animedata/train_10k/Japan_2_84466_s2,36.493229198328514,0.992487,0.01413,7.6251376e-06
9263,9263,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Disney_13_04275_s2,41.5998819156039,0.99479383,0.01423,8.7770895e-06
2387,2387,"(256, 512)",/root/autodl-tmp/animedata/anime_dataset/3147,42.34469326248824,0.96245205,0.01424,7.896104e-06
